adduser	3.137ubuntu1
libsasl2-modules:amd64	2.1.28+dfsg1-5ubuntu3.1
libsasl2-modules-db:amd64	2.1.28+dfsg1-5ubuntu3.1
libseccomp2:amd64	2.5.5-1ubuntu3.1
libselinux1:amd64	3.5-2ubuntu2
libselinux1-dev:amd64	3.5-2ubuntu2
libsemanage-common	3.5-1build5
libsemanage2:amd64	3.5-1build5
libsensors-config	1:3.6.0-9build1
libsensors5:amd64	1:3.6.0-9build1
libsepol-dev:amd64	3.5-2build1
libsepol2:amd64	3.5-2build1
libsframe1:amd64	2.42-4ubuntu2.3
libsharpyuv-dev:amd64	1.3.2-0.4build3
libsharpyuv0:amd64	1.3.2-0.4build3
libsm-dev:amd64	2:1.2.3-1build3
libsm6:amd64	2:1.2.3-1build3
libsmartcols1:amd64	2.39.3-9ubuntu6.1
libsqlite3-0:amd64	3.45.1-1ubuntu2
libsqlite3-dev:amd64	3.45.1-1ubuntu2
libss2:amd64	1.47.0-2.4~exp1ubuntu4.1
libssh-4:amd64	0.10.6-2build2
libssl-dev:amd64	3.0.13-0ubuntu3.4
libssl3t64:amd64	3.0.13-0ubuntu3.4
libstdc++-13-dev:amd64	13.2.0-23ubuntu4
libstdc++6:amd64	14.2.0-4ubuntu2~24.04
libsystemd0:amd64	255.4-1ubuntu8.4
libtasn1-6:amd64	4.19.0-3build1
libtbb-dev:amd64	2021.11.0-2ubuntu2
libtbb12:amd64	2021.11.0-2ubuntu2
libtbbbind-2-5:amd64	2021.11.0-2ubuntu2
libtbbmalloc2:amd64	2021.11.0-2ubuntu2
libthai-data	0.1.29-2build1
libthai0:amd64	0.1.29-2build1
libtiff-dev:amd64	4.5.1+git230720-4ubuntu2.2
libtiff6:amd64	4.5.1+git230720-4ubuntu2.2
libtiffxx6:amd64	4.5.1+git230720-4ubuntu2.2
libtinfo6:amd64	6.4+20240113-1ubuntu2
libtsan2:amd64	14.2.0-4ubuntu2~24.04
libubsan1:amd64	14.2.0-4ubuntu2~24.04
libucx0:amd64	1.16.0+ds-5ubuntu1
libudev1:amd64	255.4-1ubuntu8.4
libunistring5:amd64	1.1-2build1
libuuid1:amd64	2.39.3-9ubuntu6.1
libuv1t64:amd64	1.48.0-1.1build1
libvdt-dev:amd64	0.4.4-3build1
libvdt0.4:amd64	0.4.4-3build1
libvomsapi1t64:amd64	2.1.0~rc3-5.1build2
libvulkan1:amd64	1.3.275.0-1build1
libwayland-client0:amd64	1.22.0-2.1build1
libwayland-server0:amd64	1.22.0-2.1build1
libwebp-dev:amd64	1.3.2-0.4build3
libwebp7:amd64	1.3.2-0.4build3
libwebpdecoder3:amd64	1.3.2-0.4build3
libwebpdemux2:amd64	1.3.2-0.4build3
libwebpmux3:amd64	1.3.2-0.4build3
libx11-6:amd64	2:1.8.7-1build1
libx11-data	2:1.8.7-1build1
libx11-dev:amd64	2:1.8.7-1build1
libx11-xcb1:amd64	2:1.8.7-1build1
libxau-dev:amd64	1:1.0.9-1build6
libxau6:amd64	1:1.0.9-1build6
libxcb-dri2-0:amd64	1.15-1ubuntu2
libxcb-dri3-0:amd64	1.15-1ubuntu2
libxcb-glx0:amd64	1.15-1ubuntu2
libxcb-present0:amd64	1.15-1ubuntu2
libxcb-randr0:amd64	1.15-1ubuntu2
libxcb-render0:amd64	1.15-1ubuntu2
libxcb-render0-dev:amd64	1.15-1ubuntu2
libxcb-shm0:amd64	1.15-1ubuntu2
libxcb-shm0-dev:amd64	1.15-1ubuntu2
libxcb-sync1:amd64	1.15-1ubuntu2
libxcb-xfixes0:amd64	1.15-1ubuntu2
libxcb1:amd64	1.15-1ubuntu2
libxcb1-dev:amd64	1.15-1ubuntu2
libxcomposite1:amd64	1:0.4.5-1build3
libxcursor1:amd64	1:1.2.1-1build1
libxdamage1:amd64	1:1.1.6-1build1
libxdmcp-dev:amd64	1:1.1.3-0ubuntu6
libxdmcp6:amd64	1:1.1.3-0ubuntu6
libxdot4:amd64	2.42.2-9ubuntu0.1
libxext-dev:amd64	2:1.3.4-1build2
libxext6:amd64	2:1.3.4-1build2
libxfixes3:amd64	1:6.0.0-2build1
libxft-dev:amd64	2.3.6-1build1
libxft2:amd64	2.3.6-1build1
libxi6:amd64	2:1.8.1-1build1
libxinerama-dev:amd64	2:1.1.4-3build1
libxinerama1:amd64	2:1.1.4-3build1
libxml2:amd64	2.9.14+dfsg-1.3ubuntu3
libxml2-dev:amd64	2.9.14+dfsg-1.3ubuntu3
libxmuu1:amd64	2:1.1.3-3build2
libxnvctrl0:amd64	510.47.03-0ubuntu4
libxpm-dev:amd64	1:3.5.17-1build2
libxpm4:amd64	1:3.5.17-1build2
libxrandr2:amd64	2:1.5.2-2build1
libxrdcrypto2t64:amd64	5.6.9-2
libxrdcryptolite2t64:amd64	5.6.9-2
libxrdutils3t64:amd64	5.6.9-2
libxrender-dev:amd64	1:0.9.10-1.1build1
libxrender1:amd64	1:0.9.10-1.1build1
libxshmfence1:amd64	1.3-1build5
libxt-dev:amd64	1:1.2.1-1.2build1
libxt6t64:amd64	1:1.2.1-1.2build1
libxxf86vm1:amd64	1:1.1.4-1build4
libxxhash-dev:amd64	0.8.2-2build1
libxxhash0:amd64	0.8.2-2build1
libyaml-0-2:amd64	0.2.5-1build1
libzstd-dev:amd64	1.5.5+dfsg2-2build1.1
libzstd1:amd64	1.5.5+dfsg2-2build1.1
linux-libc-dev:amd64	6.8.0-49.49
locales	2.39-0ubuntu8.3
login	1:4.13+dfsg1-4ubuntu3.2
logsave	1.47.0-2.4~exp1ubuntu4.1
lto-disabled-list	47
m4	1.4.19-4build1
make	4.3-4.1build2
manpages	6.7-2
manpages-dev	6.7-2
mawk	1.3.4.20240123-1build1
media-types	10.1.0
mesa-vulkan-drivers:amd64	24.0.9-0ubuntu0.2
mount	2.39.3-9ubuntu6.1
mpi-default-bin	1.15build1
mpi-default-dev	1.15build1
mysql-common	5.8+1.1.0build1
ncurses-base	6.4+20240113-1ubuntu2
ncurses-bin	6.4+20240113-1ubuntu2
netbase	6.4
nlohmann-json3-dev	3.11.3-1
ocl-icd-libopencl1:amd64	2.3.2-1build1
openmpi-bin	4.1.6-7ubuntu2
openmpi-common	4.1.6-7ubuntu2
openssh-client	1:9.6p1-3ubuntu13.5
openssl	3.0.13-0ubuntu3.4
passwd	1:4.13+dfsg1-4ubuntu3.2
patch	2.7.6-7build3
perl	5.38.2-3.2build2
perl-base	5.38.2-3.2build2
perl-modules-5.38	5.38.2-3.2build2
pinentry-curses	1.2.1-3ubuntu5
pkg-config:amd64	1.8.1-2build1
pkgconf:amd64	1.8.1-2build1
pkgconf-bin	1.8.1-2build1
procps	2:4.0.4-4ubuntu3.2
protobuf-compiler	3.21.12-8.2build1
publicsuffix	20231001.0357-0.1
python-is-python3	3.11.4-1
python3	3.12.3-0ubuntu2.1
python3-dev	3.12.3-0ubuntu2.1
python3-mako	1.3.2-1
python3-markdown	3.5.2-1
python3-markupsafe	2.1.5-1build2
python3-minimal	3.12.3-0ubuntu2.1
python3-numpy	1:1.26.4+ds-6ubuntu1
python3-packaging	24.0-1
python3-pip-whl	24.0+dfsg-1ubuntu1.3
python3-pkg-resources	68.1.2-2ubuntu1.2
python3-pygments	2.17.2+dfsg-1
python3-setuptools	68.1.2-2ubuntu1.2
python3-setuptools-whl	68.1.2-2ubuntu1.2
python3-six	1.16.0-4
python3-venv	3.12.3-0ubuntu2.1
python3-yaml	6.0.1-2build2
python3.12	3.12.3-1ubuntu0.16
python3.12-dev	3.12.3-1ubuntu0.16
python3.12-minimal	3.12.3-1ubuntu0.16
python3.12-venv	3.12.3-1ubuntu0.16
readline-common	8.2-4build1
rpcsvc-proto	1.4.2-0ubuntu7
rsync	3.2.7-1ubuntu1.5
sed	4.9-2build1
sensible-utils	0.0.22
shared-mime-info	2.4-4
srm-ifce-dev:amd64	1.24.6-1.1build1
sysvinit-utils	3.08-6ubuntu3
tar	1.35+dfsg-3build1
tzdata	2024a-3ubuntu1.1
ubuntu-keyring	2023.11.28.1
ubuntu-mono	24.04-0ubuntu1
unixodbc-common	2.3.12-1ubuntu0.24.04.1
unixodbc-dev:amd64	2.3.12-1ubuntu0.24.04.1
unminimize	0.2.1
util-linux	2.39.3-9ubuntu6.1
uuid-dev:amd64	2.39.3-9ubuntu6.1
wget	1.21.4-1ubuntu4.5
x11-common	1:7.7+23ubuntu3
x11proto-dev	2023.2-1
xauth	1:1.1.2-1build1
xdg-user-dirs	0.18-1build1
xorg-sgml-doctools	1:1.11-1.1
xrootd-plugins:amd64	5.6.9-2
xtrans-dev	1.4.0-1
xz-utils	5.6.1+really5.4.5-1ubuntu0.3
zlib1g:amd64	1:1.3.dfsg-3.1ubuntu2.1
zlib1g-dev:amd64	1:1.3.dfsg-3.1ubuntu2.1
